,,OUTPUT PERIOD 32,,,,,,,,,,,,,,,,,
32,JAPAN,MEXICO,CHINA,U.K.,GERMAN,U.S.,TOTAL,,,,,Period,Country,Demand - Units P1,,,,,
Demand - Units P1,302965,150207,108234,209039,234720,606067,1611232,0,0,0,,32,Japan,302965,,,,,
Sales - Units P1,302965,150207,108234,209039,234720,606067,1611232,0,0,0,,32,Mexico,15207,,,,,
Domestic Units sold P1,0,0,108234,0,0,0,0,0,0,0,,,,,,,,,
Imported Units sold P1,302965,150207,0,209039,234720,606067,0,0,0,0,,,,,,,,,
Exported units P1,0,0,1502998,0,0,0,0,0,0,0,,,,,,,,,
Demand - Units P2,262795,119310,89007,207475,259132,673051,1610770,0,0,0,,,,,,,,,
Sales - Units P2,262795,119310,89007,207475,259132,673051,1610770,0,0,0,,,,,,,,,
Domestic Units sold P2,0,0,0,0,0,673051,0,0,0,0,,,,,,,,,
Imported Units sold P2,262795,119310,89007,207475,259132,0,0,0,0,0,,,,,,,,,
Exported units P2,0,0,0,0,0,937719,0,0,0,0,,,,,,,,,
Price company 1 P1,3458.729286,334.081806,275.1261932,25.94046964,40.08981672,36.15944253,0,0,0,0,,,,,,,,,
Price company 2 P1,3734.7255,360.7405313,297.0804375,28.01044125,43.28886375,39.0448575,0,0,0,0,,,,,,,,,
Price company 3 P1,3724.38,359.74125,296.2575,27.93285,43.16895,38.9367,0,0,0,0,,,,,,,,,
Price company 4 P1,3931.29,379.726875,312.71625,29.484675,45.567225,41.09985,0,0,0,0,,,,,,,,,
Price company 5 P1,3529.315598,340.899802,280.7410134,26.46986698,40.90797624,36.89739034,0,0,0,0,,,,,,,,,
Price company 6 P1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Price company 7 P1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Price company 8 P1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Price company 9 P1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Price company 10 P1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Price company 1 P2,5266.701412,393.0374188,412.6892898,33.80121802,47.16449026,43.23411607,0,0,0,0,,,,,,,,,
Price company 2 P2,6616.4175,493.7625,518.450625,42.463575,59.2515,54.313875,0,0,0,0,,,,,,,,,
Price company 3 P2,5671.215,423.225,444.38625,36.39735,50.787,46.55475,0,0,0,0,,,,,,,,,
Price company 4 P2,6285.596625,469.074375,492.5280938,40.34039625,56.288925,51.59818125,0,0,0,0,,,,,,,,,
Price company 5 P2,6222.740659,464.3836313,487.6028128,39.93699229,55.72603575,51.08219944,0,0,0,0,,,,,,,,,
Price company 6 P2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Price company 7 P2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Price company 8 P2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Price company 9 P2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Price company 10 P2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Marketing Expense P1,86999880,4640008.5,4640004.6,699999.96,1399999.38,3700000,8602005,0,0,0,,,,,,,,,
Marketing Expense P2,115999928,5299989.4,5299988.1,829999.5,1339999.44,4460000,9962069,0,0,0,,,,,,,,,
Tariff to Japan From --,0,0.09,0.09,0.09,0.09,0.09,0,0,0,0,,,,,,,,,
Tariff to Mexico From --,0.069,0,0.069,0.069,0.069,0,0,0,0,0,,,,,,,,,
Tariff to China From --,0.092,0.092,0,0.092,0.092,0.092,0,0,0,0,,,,,,,,,
Tariff to UK From --,0.115,0.115,0.115,0,0,0.115,0,0,0,0,,,,,,,,,
Tariff to Germany From --,0.115,0.115,0.115,0,0,0.115,0,0,0,0,,,,,,,,,
Tariff to U.S. From --,0.0575,0,0.0575,0.0575,0.0575,0,0,0,0,0,,,,,,,,,
Trans to Japan From --,0.6,1.2,0.6,1.5,1.5,1.2,0,0,0,0,,,,,,,,,
Trans to Mexico From --,1.2,0.6,1.8,1.2,1.2,0.6,0,0,0,0,,,,,,,,,
Trans to China From --,0.6,1.8,0.6,1.2,1.2,1.2,0,0,0,0,,,,,,,,,
Trans to UK From --,1.5,1.2,1.2,0.6,0.6,0.9,0,0,0,0,,,,,,,,,
Trans to Germany From --,1.5,1.2,1.2,0.6,0.6,0.9,0,0,0,0,,,,,,,,,
Trans to U.S. From --,1.2,0.6,1.2,0.9,0.9,0.6,0,0,0,0,,,,,,,,,
Last Per Spot Rate,87,12.7,7,0.67,0.79,1,0,0,0,0,,,,,,,,,
Last Per Forward Rate,88,12.7,6.9,0.68,0.81,1,0,0,0,0,,,,,,,,,
Curr Per Spot Rate,88,12.7,6.7,0.66,0.78,1,0,0,0,0,,,,,,,,,
Curr Per Forward Rate,86,12.9,7.1,0.67,0.8,1,0,0,0,0,,,,,,,,,
Inflation Rates,5.154545455,9.294488189,14.0238806,9.23030303,10.35897436,7.6,0,0,0,0,,,,,,,,,
Cash and Securities,28599884.37,21387195.37,23585757.81,23923560.73,9518278.505,0,0,0,0,0,,,,,,,,,
Receivables,23867646,27107940,26584031,29869669,25278178,0,0,0,0,0,,,,,,,,,
Inventory P1,690811,3423554,3299738,2100055,3959273,0,0,0,0,0,,,,,,,,,
Inventory P2,979522,3191789,3839775,6208199,2548931,0,0,0,0,0,,,,,,,,,
Total  Inventory val,1670333,6615343,7139513,8308254,6508204,0,0,0,0,0,,,,,,,,,
Ship Containers Net,2768171,2865450,2805534,2913931,2846731,235416,235416,235416,235416,235416,,,,,,,,,
Factory 1 Net,4232569,5476708,5140138,6986261,5074189,3761058,2557519,2407076,3309729,3610614,,,,,,,,,
Factory 2 Net,6334352,8318003,6145355,7443602,6485972,3008845,3610614,3309729,2407076,2557519,,,,,,,,,
Total Factory net,10566921,13794711,11285493,14429863,11560161,6769903,6168133,5716805,5716805,6168133,,,,,,,,,
Total Assets,67472955.37,71770639.37,71400328.81,79445277.73,55711552.51,0,0,0,0,0,,,,,,,,,
Trade Payables,6688907.433,7832760.989,7271101.634,8999999.888,7313835.862,0,0,0,0,0,,,,,,,,,
Taxes Payable,99880,1279622,843418,1491088,583552,-3080765,-2676467,-1991611,-1837502,-2398138,,,,,,,,,
Loans Outstanding,27063160,30348145,32864626,28980821,31442415,0,0,0,0,0,,,,,,,,,
Common Stock,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,,,,,,,,,
Retained Earnings,32621007.93,31310111.38,29421183.17,38973368.85,15371749.64,14541298,15326106,16655524,16955691,15866391,,,,,,,,,
Total liab and Equity,67472955.37,71770639.37,71400328.81,79445277.73,55711552.51,0,0,0,0,0,,,,,,,,,
Dividends Paid,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
